Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
44	-467.01456	30.740482	-391.00787	-507.5135	-468.4018	22.24751	-418.55017	-502.99066	100.0	100.0	65999	-97.224556	2.9802039	-87.24403	-110.1913	-97.2246	2.9908478	-87.40441	-110.42351	97.12195	0.37374586	213.92647171020508
45	-472.829	14.949437	-446.68378	-491.5303	-472.4228	17.860117	-431.57208	-492.503	100.0	100.0	67499	-97.18916	3.0042427	-87.12398	-110.371956	-97.189095	3.012231	-87.28676	-109.93599	97.07474	0.3782421	219.36787867546082
46	-472.20593	22.558807	-411.58133	-495.59506	-465.07437	16.634853	-432.76428	-493.0564	100.0	100.0	68999	-97.1339	3.024694	-87.10226	-110.839424	-97.13392	3.0330336	-87.09318	-110.07794	97.02835	0.38797274	224.64177012443542
47	-476.37415	15.647032	-439.2198	-498.1616	-475.7875	8.420401	-457.86517	-489.06107	100.0	100.0	70499	-97.08556	3.058984	-86.6899	-111.018135	-97.08556	3.067407	-86.986694	-111.08501	96.99152	0.38792667	229.72612977027893
48	-471.71658	31.244577	-392.4646	-504.86722	-479.0935	18.425356	-436.71115	-499.8517	100.0	100.0	71999	-97.04028	3.0752754	-86.88538	-110.84321	-97.04031	3.0825548	-86.94178	-111.00531	96.95178	0.38541934	234.79836893081665
49	-468.21902	13.648144	-443.73355	-491.6994	-472.13443	10.060451	-449.90686	-485.35284	100.0	100.0	73499	-96.95226	3.1264608	-86.61017	-111.063934	-96.952286	3.1339006	-86.69542	-111.537056	96.84358	0.39682746	240.527973651886
50	-473.05804	12.480318	-449.01892	-495.06412	-469.5704	14.661982	-444.30255	-494.83463	100.0	100.0	74999	-96.89186	3.1264815	-86.52687	-111.033775	-96.891914	3.1328073	-86.7092	-110.89316	96.78264	0.3981025	245.8426697254181
51	-470.3068	19.731644	-428.5864	-496.26038	-472.94962	15.718541	-444.38745	-494.25903	100.0	100.0	76499	-96.83993	3.146971	-86.74992	-110.8286	-96.83993	3.1543763	-86.70304	-110.64172	96.73102	0.3972745	251.22939658164978
52	-466.6369	21.327787	-425.12518	-496.7304	-463.48114	17.556156	-428.39297	-493.68274	100.0	100.0	77999	-96.77959	3.1504915	-86.56556	-111.28013	-96.77957	3.157004	-86.68298	-111.0587	96.67425	0.3984165	257.7445533275604
53	-470.4881	22.753443	-417.7243	-503.8742	-467.45645	25.172766	-404.80032	-494.79263	100.0	100.0	79499	-96.71796	3.1733656	-86.71109	-110.535805	-96.71823	3.1809514	-86.47665	-111.02466	96.62424	0.39889982	263.60117387771606
54	-475.72824	19.762066	-445.84958	-506.94748	-479.8644	14.684182	-448.4309	-497.67557	100.0	100.0	80999	-96.66191	3.193908	-86.54643	-111.3692	-96.661835	3.1999125	-86.55385	-111.206505	96.55325	0.3982591	268.8608844280243
55	-471.35403	24.966187	-421.29285	-501.41452	-444.01465	31.66051	-365.89246	-481.46472	100.0	100.0	82499	-96.628845	3.234564	-86.31269	-111.08045	-96.62874	3.2417016	-86.41536	-111.020386	96.52248	0.40564758	273.9404182434082
56	-466.1598	28.809948	-395.36426	-503.5402	-460.81494	21.240349	-407.0901	-477.68158	100.0	100.0	83999	-96.58052	3.2773993	-86.13932	-111.13107	-96.580765	3.2856183	-86.27075	-109.80699	96.47102	0.4073354	278.9991943836212
57	-472.86237	12.105675	-448.53766	-491.09045	-448.50742	29.494637	-372.76535	-473.49902	100.0	100.0	85499	-96.5406	3.3172646	-85.61726	-112.08789	-96.54062	3.3235815	-85.87757	-111.36251	96.43253	0.4125675	284.11736392974854
58	-472.6958	17.107063	-425.28775	-502.23166	-480.5341	11.443989	-462.12497	-500.91003	100.0	100.0	86999	-96.49728	3.3293583	-85.31698	-112.350174	-96.49727	3.3360748	-85.39827	-111.665215	96.399155	0.40452465	289.3081967830658
59	-472.5466	26.938211	-397.55698	-497.50006	-467.50287	24.059	-405.01794	-498.2639	100.0	100.0	88499	-96.44255	3.351935	-84.764885	-112.11072	-96.44252	3.3581626	-85.15886	-111.4224	96.34609	0.40765092	294.43615770339966
60	-470.07858	22.542765	-421.51584	-492.1758	-443.5276	41.53996	-331.8103	-481.35312	100.0	100.0	89999	-96.41085	3.3891811	-84.766266	-112.24998	-96.41087	3.3950713	-84.92747	-111.63179	96.296646	0.40712062	300.06215929985046
61	-462.92404	17.587984	-433.14615	-496.7021	-472.61383	21.463474	-429.8324	-498.96475	100.0	100.0	91499	-96.375595	3.4180348	-84.58163	-111.584724	-96.37586	3.4227746	-84.65297	-111.261856	96.25692	0.40807748	305.2719168663025
