Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
36	-455.40207	32.16224	-386.99884	-487.37006	-459.11816	16.23583	-417.8257	-477.1411	100.0	100.0	53999	-95.882	2.958977	-86.0031	-107.36318	-95.882	2.9644341	-86.244354	-106.50442	95.73421	0.6344005	230.2681155204773
37	-460.16348	15.194472	-423.93344	-482.13693	-447.4977	32.22055	-372.16003	-482.88528	100.0	100.0	55499	-95.80905	3.01509	-86.005615	-106.77481	-95.80914	3.0196333	-86.16719	-106.473366	95.66156	0.6490774	236.3310956954956
38	-470.37604	13.271817	-443.8926	-491.64154	-440.76157	25.6235	-404.10773	-480.7759	100.0	100.0	56999	-95.74442	3.0499594	-85.98059	-106.96915	-95.74424	3.0560005	-85.95867	-106.88953	95.57927	0.6551079	241.4594268798828
39	-462.7186	13.127371	-417.43668	-474.74316	-429.42432	48.30102	-297.10626	-481.93307	100.0	100.0	58499	-95.67661	3.0699854	-85.44604	-106.77872	-95.67649	3.0753052	-85.745514	-106.702866	95.52627	0.6504976	247.38376712799072
40	-455.2726	22.686453	-404.65387	-487.24252	-444.07062	33.09934	-386.11804	-499.38797	100.0	100.0	59999	-95.61049	3.118739	-85.35729	-107.09515	-95.610596	3.125241	-85.51229	-106.84067	95.47383	0.65743774	253.44894981384277
41	-461.81204	24.354502	-400.38553	-489.78094	-451.20892	29.790482	-396.43057	-481.55478	100.0	100.0	61499	-95.54108	3.1447773	-85.11633	-107.302	-95.541084	3.1504695	-85.15529	-107.219246	95.3723	0.6558377	260.27043557167053
42	-449.09225	26.658476	-391.6347	-487.89114	-448.8991	10.18897	-432.68274	-469.96515	100.0	100.0	62999	-95.435326	3.1718118	-84.84522	-106.860435	-95.43536	3.1766474	-84.98652	-106.68	95.28772	0.6615502	267.01128244400024
43	-454.05548	22.149303	-391.69128	-480.58594	-452.04947	38.966736	-342.7556	-490.70947	100.0	100.0	64499	-95.35915	3.2057211	-84.49038	-106.841415	-95.35906	3.2108796	-84.58643	-107.38019	95.197945	0.66996884	273.9893686771393
44	-453.00284	36.342663	-369.34988	-493.85873	-436.14713	40.45802	-325.97293	-469.53113	100.0	100.0	65999	-95.26086	3.2412086	-84.560356	-106.9087	-95.26088	3.2463005	-84.50364	-107.00226	95.10373	0.67032135	280.8921043872833
45	-457.67572	17.600746	-415.90125	-481.65253	-436.33017	39.477425	-353.56485	-484.60175	100.0	100.0	67499	-95.17178	3.2684388	-84.289604	-107.04499	-95.17194	3.2742405	-84.45281	-106.53496	95.01824	0.6736845	288.54364132881165
46	-455.87982	20.251026	-406.53128	-485.05106	-435.26312	17.99652	-400.92722	-461.3671	100.0	100.0	68999	-95.09782	3.2985706	-84.13804	-107.68314	-95.09769	3.304657	-84.12253	-107.14279	94.938614	0.68180674	294.385938167572
47	-458.13217	20.94302	-428.53763	-496.69287	-418.30087	34.27549	-355.74255	-480.17407	100.0	100.0	70499	-95.011505	3.3511078	-84.14399	-107.160675	-95.011635	3.3542707	-84.07931	-107.147514	94.87677	0.69959706	301.0671045780182
