Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
47	-433.3918	16.148903	-403.44055	-462.51486	-429.55353	25.00189	-388.30725	-471.46103	100.0	100.0	70499	-92.513084	3.6733823	-82.22586	-108.64832	-92.51333	3.6811807	-82.27434	-108.303894	92.31107	0.91716236	619.3620519638062
48	-404.52216	32.878582	-345.16602	-458.2283	-393.90778	40.4641	-310.58432	-450.8418	100.0	100.0	71999	-92.298965	3.7800205	-81.75144	-109.44287	-92.29909	3.7883549	-81.754745	-109.0205	92.08833	0.928608	634.3391320705414
49	-411.04837	42.225246	-336.03445	-474.2732	-408.6332	28.883854	-367.3244	-453.98013	100.0	100.0	73499	-92.07534	3.8960376	-81.25637	-109.16285	-92.07511	3.9046788	-81.087395	-108.346375	91.84426	0.9418703	649.3472471237183
50	-440.68213	34.597084	-387.5781	-501.33847	-394.20743	52.592632	-303.3386	-472.11597	100.0	100.0	74999	-91.92116	4.022611	-80.77778	-108.79722	-91.92138	4.031661	-80.67107	-109.11371	91.716545	0.97912157	664.5334100723267
51	-409.5908	39.407402	-334.7038	-468.96835	-393.50604	63.030968	-291.13528	-474.25696	100.0	100.0	76499	-91.72843	4.11349	-79.99728	-109.168625	-91.72851	4.1237836	-80.040955	-108.66027	91.52561	0.97917366	679.5516340732574
52	-424.56137	34.7081	-338.84668	-470.94592	-407.52835	35.16861	-358.70532	-469.6624	100.0	100.0	77999	-91.50798	4.2185345	-79.52637	-110.35014	-91.50814	4.228775	-79.30986	-109.277664	91.30514	0.992651	694.6293261051178
53	-429.36313	35.89984	-364.05457	-489.45065	-421.97354	47.12646	-325.4929	-478.00644	100.0	100.0	79499	-91.30968	4.3013525	-78.327095	-109.79631	-91.309555	4.3117123	-78.441216	-109.096985	91.06156	1.0108906	710.0918300151825
54	-426.26517	31.497538	-370.5353	-485.62778	-396.3938	37.027225	-338.35016	-457.13724	100.0	100.0	80999	-91.12286	4.3879585	-78.63657	-110.44558	-91.12293	4.4009805	-78.52048	-109.795135	90.88398	1.0083396	725.3356840610504
55	-436.85736	36.960278	-338.1636	-491.56244	-401.8362	46.53086	-306.24368	-450.85983	100.0	100.0	82499	-90.92926	4.479335	-78.47136	-109.822365	-90.9292	4.491259	-78.28941	-109.55038	90.70187	1.009982	740.3811218738556
56	-417.23627	35.763573	-355.37375	-460.03766	-406.53854	39.220345	-346.0614	-483.02002	100.0	100.0	83999	-90.78114	4.5453553	-78.184906	-110.90531	-90.78123	4.5573955	-77.95206	-109.83085	90.538795	1.0047265	755.4994049072266
57	-411.68655	33.23861	-344.23538	-476.22964	-398.4749	50.15688	-305.43326	-476.2605	100.0	100.0	85499	-90.61694	4.629368	-77.81623	-111.083374	-90.61705	4.640829	-77.5628	-110.65242	90.364914	1.0198649	770.6495699882507
58	-437.59024	27.6652	-356.14035	-463.93036	-425.65967	43.25344	-329.22708	-465.4405	100.0	100.0	86999	-90.466064	4.739651	-77.831665	-111.024994	-90.46621	4.750642	-77.46037	-109.98187	90.22703	1.0135475	786.3038940429688
59	-425.73666	37.440575	-339.78278	-466.0047	-390.60272	33.921616	-315.24042	-438.2808	100.0	100.0	88499	-90.361725	4.7904553	-77.41426	-111.3841	-90.361755	4.801569	-77.10195	-110.17978	90.09691	1.0293767	801.6805002689362
60	-434.9217	27.79112	-382.74286	-477.47974	-421.85333	32.09318	-370.6663	-470.80402	100.0	100.0	89999	-90.2827	4.8365617	-77.132614	-111.32501	-90.28276	4.8489385	-76.99171	-110.1789	90.03464	1.0327576	817.0984890460968
61	-437.73578	26.150501	-385.3174	-472.5875	-406.41934	31.621754	-359.85358	-461.31784	100.0	100.0	91499	-90.13691	4.8899856	-77.23229	-111.78289	-90.13685	4.9031935	-76.80333	-111.175	89.88496	1.0342565	832.1004841327667
62	-428.0107	35.97376	-340.7631	-474.43524	-384.07654	39.45052	-317.7205	-438.9507	100.0	100.0	92999	-90.05275	4.9455023	-76.66408	-111.71579	-90.05276	4.9592605	-76.473755	-111.074234	89.79205	1.0276797	847.2995150089264
63	-418.82703	51.394764	-298.01337	-482.66055	-373.03717	63.942013	-233.06432	-475.42096	100.0	100.0	94499	-89.99798	4.9777327	-76.629814	-112.27765	-89.99803	4.9909487	-76.14237	-110.59123	89.75767	1.0234379	862.6528880596161
64	-431.0805	28.520267	-367.57742	-469.22165	-404.30292	44.83822	-326.84488	-478.35596	100.0	100.0	95999	-89.87758	5.04505	-76.48608	-112.00526	-89.87762	5.056969	-76.20561	-110.01265	89.6226	1.0294558	878.8725211620331
65	-420.71146	39.41038	-327.32855	-474.54904	-379.7837	59.392197	-293.52936	-479.64746	100.0	100.0	97499	-89.75393	5.067255	-76.420586	-112.88683	-89.7539	5.0814543	-76.09527	-111.08014	89.52877	1.0406324	894.1359190940857
66	-415.3978	37.615547	-349.98358	-474.04828	-349.0512	66.289	-213.15817	-447.3788	100.0	100.0	98999	-89.660576	5.1252084	-76.198906	-112.77694	-89.66064	5.137122	-75.981346	-111.008354	89.43513	1.038935	910.3570680618286
67	-420.241	30.142672	-347.83957	-468.51974	-413.7994	52.009552	-283.9261	-459.93942	100.0	100.0	100499	-89.54531	5.1400504	-76.268585	-111.81246	-89.54529	5.15437	-76.112274	-110.49587	89.30579	1.0329834	926.2097609043121
68	-413.20834	28.008175	-364.26202	-468.90063	-370.6362	64.54673	-280.93204	-470.9915	100.0	100.0	101999	-89.450935	5.1856656	-76.08382	-111.31648	-89.45114	5.1984143	-75.95833	-109.472855	89.2055	1.0311133	941.4470729827881
69	-403.46487	27.948383	-359.95587	-454.62094	-420.77313	44.10317	-326.212	-490.1712	100.0	100.0	103499	-89.329056	5.246218	-75.8306	-111.25713	-89.328964	5.2581997	-76.06891	-110.3701	89.10174	1.0295426	956.9391899108887
70	-415.65866	32.53369	-360.96317	-453.7831	-378.07056	59.905216	-256.6604	-446.40396	100.0	100.0	104999	-89.215836	5.3040376	-75.71906	-112.13974	-89.215904	5.3172917	-75.83521	-111.295784	88.966	1.0537792	972.2067391872406
71	-425.4511	26.255394	-360.92587	-465.25946	-366.50003	71.48456	-254.03369	-484.12018	100.0	100.0	106499	-89.10412	5.3233886	-75.83013	-111.19075	-89.10415	5.337441	-75.95003	-109.65602	88.85031	1.0343516	987.4367589950562
72	-420.05658	32.510674	-363.29276	-477.5809	-394.6508	51.4931	-293.42233	-463.49173	100.0	100.0	107999	-89.03804	5.327151	-75.73923	-111.34606	-89.03827	5.341142	-75.92574	-109.90644	88.796364	1.0238452	1002.5081751346588
73	-416.678	28.879148	-355.90515	-460.1421	-409.19415	40.339832	-344.11523	-465.5308	100.0	100.0	109499	-88.99997	5.3404455	-75.53479	-111.616234	-88.99976	5.353895	-75.89119	-110.78291	88.79351	1.0402505	1017.4475381374359
74	-418.51767	41.39095	-351.74594	-481.69598	-403.46057	39.408623	-341.67667	-456.8438	100.0	100.0	110999	-88.92685	5.366972	-75.700966	-111.658165	-88.92693	5.381617	-75.677765	-109.46054	88.69283	1.0370877	1032.5656440258026
75	-411.81055	35.389103	-336.80573	-475.14737	-379.54456	38.848213	-303.67957	-455.87057	100.0	100.0	112499	-88.85253	5.4010625	-75.29439	-111.6238	-88.852646	5.414532	-75.532936	-109.675064	88.62411	1.0405977	1047.4547481536865
76	-404.4875	27.514444	-360.8219	-447.3709	-416.2942	52.639614	-306.49692	-477.0296	100.0	100.0	113999	-88.77858	5.4103746	-75.54662	-111.06218	-88.77856	5.4241905	-75.54575	-110.30342	88.52675	1.0377017	1062.6612980365753
77	-426.7125	27.554554	-371.1628	-474.95056	-387.6296	28.83085	-347.8774	-443.42612	100.0	100.0	115499	-88.7198	5.415857	-75.32435	-112.18435	-88.71965	5.4294353	-75.49412	-110.87976	88.47183	1.0474881	1077.5153892040253
78	-415.35846	37.099903	-335.37134	-479.46243	-399.11383	53.95204	-286.73074	-479.16522	100.0	100.0	116999	-88.63126	5.4241624	-75.36644	-112.08577	-88.63149	5.437747	-75.417915	-110.51081	88.3931	1.0407836	1092.42111992836
